timestamp,asset,mode,signal,confidence,amount,result,pnl,state_key
2026-05-26 20:23:15,EUR/USD OTC,ftt,BUY,0.6244,200.0,WIN,164.0000,5BL|15NL|30BL|60NL
2026-05-26 20:23:22,EUR/USD OTC,ftt,BUY,0.6340,200.0,LOSS,-200.0000,5NL|15NL|30BL|60NL
2026-05-26 20:23:29,EUR/USD OTC,ftt,BUY,0.6340,200.0,LOSS,-200.0000,5NL|15NL|30BL|60NL
2026-05-26 20:23:35,EUR/USD OTC,ftt,BUY,0.9894,200.0,WIN,164.0000,5NL|15SL|30BL|60NL
2026-05-26 20:23:42,EUR/USD OTC,ftt,BUY,0.6053,200.0,LOSS,-200.0000,5NL|15NL|30BL|60NL
2026-05-26 20:23:49,EUR/USD OTC,ftt,BUY,0.6053,200.0,LOSS,-200.0000,5NL|15NL|30BL|60NL
2026-05-26 20:23:56,EUR/USD OTC,ftt,BUY,0.6053,200.0,LOSS,-200.0000,5NL|15NL|30BL|60NL
2026-05-26 20:24:03,EUR/USD OTC,ftt,BUY,0.6053,200.0,LOSS,-200.0000,5NL|15NL|30BL|60NL
2026-05-26 20:24:10,EUR/USD OTC,ftt,BUY,0.6292,200.0,WIN,164.0000,5NL|15NL|30BL|60BM
2026-05-26 20:24:17,EUR/USD OTC,ftt,BUY,0.6340,200.0,WIN,164.0000,5BL|15NL|30BL|60BM
2026-05-26 20:24:23,EUR/USD OTC,ftt,BUY,0.6436,200.0,WIN,164.0000,5NL|15NL|30BL|60BM
2026-05-26 20:24:30,EUR/USD OTC,ftt,BUY,0.7176,200.0,WIN,164.0000,5NL|15NL|30BL|60BM
2026-05-26 20:24:37,EUR/USD OTC,ftt,BUY,0.6436,200.0,WIN,164.0000,5NL|15NL|30BL|60BM
2026-05-26 20:24:44,EUR/USD OTC,ftt,BUY,0.6436,200.0,WIN,164.0000,5NL|15NL|30BL|60BM
2026-05-26 20:24:51,EUR/USD OTC,ftt,BUY,0.6696,200.0,WIN,164.0000,5NL|15NL|30BL|60BM
2026-05-26 20:24:58,EUR/USD OTC,ftt,BUY,0.9265,200.0,WIN,164.0000,5SL|15NL|30BL|60BM
2026-05-26 20:25:10,EUR/USD OTC,ftt,BUY,0.5934,200.0,LOSS,-200.0000,5NL|15NL|30BL|60NL
2026-05-26 20:25:16,EUR/USD OTC,ftt,BUY,0.6324,200.0,LOSS,-200.0000,5NL|15NL|30BL|60BL
